id;name;long_code;address;living_population;building_count;entrance_count;logo;logo_content_type;longitude;latitude
1;Industrial;navigate;上海市 Cambridgeshire;2556;91436;49476;../fake-data/blob/hipster.png;image/png;Salad multi-tasking;河南省 success Avon
2;Borders Metal;路;navigate Dynamic Customer-focused;27103;12479;2921;../fake-data/blob/hipster.png;image/png;driver dot-com;invoice
3;e-business Borders;路 贵州省 新疆;parallelism 中心 Fully-configurable;59025;49226;20315;../fake-data/blob/hipster.png;image/png;AI holistic Granite;Home
4;schemas web-enabled;Rubber Cedi Mayotte;and connect;39746;48527;45922;../fake-data/blob/hipster.png;image/png;envisioneer silver;PCI
5;Buckinghamshire;路 Director;Naira sexy leverage;87660;95023;96456;../fake-data/blob/hipster.png;image/png;Account drive relationships;甘肃省 Granite
6;Frozen multimedia whiteboard;黑龙江省;monitor black;17120;59506;95597;../fake-data/blob/hipster.png;image/png;ubiquitous;turquoise clear-thinking
7;Engineer mint Account;Rubber overriding;world-class;59491;48993;58574;../fake-data/blob/hipster.png;image/png;web-enabled Group Gorgeous;Colombian
8;Handmade;calculating index;override;86435;30499;48801;../fake-data/blob/hipster.png;image/png;intuitive black;Account
9;Cheese Berkshire flexibility;浙江省 Hat RSS;IB National;32464;75794;60381;../fake-data/blob/hipster.png;image/png;exploit e-services;Sleek
10;Practical Money;mindshare multi-byte;Bedfordshire deposit;43504;54104;81033;../fake-data/blob/hipster.png;image/png;Account 新疆;Swaziland Kina
