id;cname;manager_name;address;tel;email;office_hours;description;source;parent_id;ancestors;long_code;status;del_flag;order_num;last_modify_date;last_modify_by
1;architecture program;山东省 Secured SQL;Gloves Sleek Money;Islands;振家.覃32@yahoo.com;monitor;Caicos Architect;Hat;18057;Shoes Human monitor;multi-byte;false;true;81251;2021-05-17T16:40:44;silver Intelligent
2;Credit Mobility Chips;EXE XSS;Agent;SAS;绍辉.冯@yahoo.com;GB Fish online;栋 global;RAM Integration auxiliary;78971;withdrawal;Cloned;false;false;44408;2021-05-17T06:21:27;Djibouti
3;Director 江苏省;Hat card;platforms Rubber structure;access Chief cross-platform;文轩_秦@yahoo.com;wireless Agent;Bedfordshire Assurance Handcrafted;Account 重庆市;23969;Awesome 桥 panel;Human;false;false;76637;2021-05-18T02:11:23;Sri
4;江苏省 visionary Car;mobile payment Music;holistic;functionalities 贵州省 connect;语堂_冯5@gmail.com;Monaco Health Small;digital;orchestrate Pa'anga application;83720;multi-byte payment feed;bluetooth invoice;false;false;30376;2021-05-17T19:59:43;桥 UIC-Franc
5;Borders;THX;Handcrafted Implementation;Account;鹏涛6@gmail.com;bluetooth invoice Sausages;Keyboard;Markets;2294;Hat;Plastic Agent;false;true;53172;2021-05-17T14:14:21;hack reintermediate Gloves
6;convergence Managed;synthesizing bus Research;local;middleware Exclusive neural;烨霖_邵@yahoo.com;河北省 澳门 virtual;栋 conglomeration;efficient;56730;Engineer withdrawal Creative;桥 e-markets cross-platform;true;false;6780;2021-05-17T12:38:53;Function-based infomediaries Computer
7;Borders customized;Robust Vanuatu Dinar;Creative;Hat Denmark;黎昕.任51@hotmail.com;Realigned;Administrator Brand;Borders;65677;disintermediate;open program;true;false;54720;2021-05-17T06:58:10;Account payment Ball
8;application;Pants 云南省 compress;Small compressing;巷 Berkshire exploit;志泽_黄54@hotmail.com;湖北省;Tasty generate;天津市 capacitor;34957;街;withdrawal Avon innovative;true;true;90508;2021-05-17T23:17:13;alarm
9;Frozen;街 Borders;e-commerce demand-driven Dalasi;Metal Buckinghamshire Mouse;子默.陆@hotmail.com;collaboration;web-enabled Bedfordshire;Savings;58965;haptic National Customer;Soft;false;false;72685;2021-05-17T23:44:42;HDD 广东省 wireless
10;Panama Incredible;executive invoice incremental;Central transition Latvia;empower;昊然_萧@gmail.com;bluetooth Customer;Supervisor;Shoes Internal Soft;69235;桥 global;cyan Steel;true;false;5882;2021-05-17T15:06:24;invoice 旁 COM
